_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
3119,3119,YO18522,20,BRUMELL AVE,VALLEYVIEW GDNS,BABY POINT RD,None,0,80,None,04,Acer platanoides 'Globosum',"Maple, Norway 'Globe'",20,"{""type"": ""Point"", ""coordinates"": [-79.490395560838, 43.6570779822061]}"
3169,3169,YO29843,43,SANDCLIFF RD,STONELEIGH RD,BLACK CREEK BLVD,None,0,10,None,05,Acer saccharinum,"Maple, silver",40,"{""type"": ""Point"", ""coordinates"": [-79.5003813628105, 43.6770668033857]}"
3204,3204,YO17090,91,DALRYMPLE DR,CAMEO CRES,CAMEO CRES,None,0,10,None,05,Prunus serrulata,"Cherry, Japanese",10,"{""type"": ""Point"", ""coordinates"": [-79.4932225275281, 43.6780960118687]}"
3229,3229,YO10229,473,RIDELLE AVE,DANESBURY AVE,TIMES RD,None,0,10,None,08,Morus,Mulberry,10,"{""type"": ""Point"", ""coordinates"": [-79.44488058195, 43.7029968683774]}"
3329,3329,YO17332,37,BERNICE CRES,EILEEN AVE,MILDRED AVE,None,0,10,None,05,Prunus virginiana 'Shubert',"Cherry, choke 'Shubert'",5,"{""type"": ""Point"", ""coordinates"": [-79.4965005837454, 43.6679979232184]}"
3412,3412,YO15479,147,PRISCILLA AVE,LN N ST JOHNS W WILLARD,LN S DUNDAS E JANE,None,0,10,None,04,Acer platanoides,"Maple, Norway",57,"{""type"": ""Point"", ""coordinates"": [-79.4890778542244, 43.6646304602144]}"
3578,3578,YO20643,74,KENWOOD AVE,LOUISE AVE,MAPLEWOOD AVE,None,0,10,None,12,Abies,Fir,4,"{""type"": ""Point"", ""coordinates"": [-79.4231853967935, 43.6848428197787]}"
3583,3583,YO8190,201,BELGRAVIA AVE,JIMMY WISDOM WAY,DUFFERIN ST,None,0,40,None,08,Prunus ' (section plums)',Plum,20,"{""type"": ""Point"", ""coordinates"": [-79.447989838924, 43.6976971012891]}"
3655,3655,YO179,566,BERESFORD AVE,LN E DURIE S ST JOHNS,ST JOHN'S RD,None,0,10,None,04,Syringa reticulata,"Lilac, Japanese",30,"{""type"": ""Point"", ""coordinates"": [-79.4818906399261, 43.661094063635]}"
3691,3691,YO6218,686,VAUGHAN RD,BUDE ST,GLENHOLME AVE,None,0,10,None,12,Juglans,Walnut,66,"{""type"": ""Point"", ""coordinates"": [-79.4440425986362, 43.6936059152866]}"
3701,3701,YO15866,13,RAGLAN AVE,LN N ST CLAIR W BATHURST,MAPLEWOOD AVE,None,0,10,None,12,Sorbus,Mountain ash,51,"{""type"": ""Point"", ""coordinates"": [-79.4195226703143, 43.683714479281]}"
3734,3734,YO7646,154,LAMBTON AVE,ROCKCLIFFE BLVD,GRAY AVE,None,0,20,None,05,Malus sargentii,"Apple, Sargents",10,"{""type"": ""Point"", ""coordinates"": [-79.4935626291619, 43.6822066076964]}"
3829,3829,YO10211,1862,BATHURST ST,AVA RD,AVA RD,None,0,80,None,12,Acer platanoides,"Maple, Norway",32,"{""type"": ""Point"", ""coordinates"": [-79.4244980869095, 43.6978462467135]}"
3836,3836,YO19067,66,CHRYESSA AVE,OUTLOOK AVE,None,None,0,10,None,05,Picea glauca,"Spruce, white",25,"{""type"": ""Point"", ""coordinates"": [-79.4944275730948, 43.6788427902093]}"
4091,4091,YO30559,54,LITTLE BLVD,BOWIE AVE,SCHELL AVE,None,0,40,None,08,Prunus '(section cherries)',Cherry,18,"{""type"": ""Point"", ""coordinates"": [-79.4600397778458, 43.696794925213]}"
4116,4116,YO7257,403,NORTHCLIFFE BLVD,ROGERS RD,GENESSEE AVE,None,0,10,None,12,Morus,Mulberry,13,"{""type"": ""Point"", ""coordinates"": [-79.4437978462061, 43.686451176164]}"
4253,4253,YO14397,224,DONALD AVE,SCOTT RD,LN E KEELE N DONALD,None,0,10,None,05,Tilia cordata,"Linden, littleleaf",64,"{""type"": ""Point"", ""coordinates"": [-79.4710855582686, 43.6853769213831]}"
4254,4254,YO19389,43,GLENHAVEN ST,YORE RD,LONBOROUGH AVE,None,0,40,None,05,Ulmus pumila,"Elm, Siberian",23,"{""type"": ""Point"", ""coordinates"": [-79.4697905175614, 43.6930177719411]}"
4275,4275,YO13771,8,ST MARK'S RD,JANE ST,WATSON AVE,None,0,10,None,04,Sorbus thuringiaca 'Fastigiata',"Mountain ash, oak leaf",22,"{""type"": ""Point"", ""coordinates"": [-79.4899361281287, 43.6602860861843]}"
4358,4358,YO4403,89,CLOUSTON AVE,MONKLANDS AVE,CENTRE RD YORK,None,0,10,None,05,Acer rubrum,"Maple, red",56,"{""type"": ""Point"", ""coordinates"": [-79.509156239648, 43.6940134296387]}"
4414,4414,YO28340,230,WOOLNER AVE,ROCKCLIFFE BLVD,JANE ST,None,0,70,None,05,Acer platanoides,"Maple, Norway",10,"{""type"": ""Point"", ""coordinates"": [-79.4935164711325, 43.6722421090891]}"
