_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
222181,222208,EY23153,1,DONCASTER AVE,OAK PARK AVE,WESTLAKE AVE,,0,10,,19,Juniperus,Juniper,0,"{""type"": ""Point"", ""coordinates"": [-79.3082999193063, 43.6904082290724]}"
222600,222627,EY12612,54,LESMOUNT AVE,COSBURN AVE,PLAINS RD,,0,10,,14,Gleditsia triacanthos,Honey locust,40,"{""type"": ""Point"", ""coordinates"": [-79.3409995966002, 43.6921279059684]}"
222940,222967,EY10137,1623,WOODBINE HEIGHTS BLVD,PARKVIEW HILL CRES,HACKBERRY ST,,0,10,,19,Acer platanoides,"Maple, Norway",39,"{""type"": ""Point"", ""coordinates"": [-79.3213781908432, 43.7062969571456]}"
222972,222999,EY25134,39,AIRDRIE RD,HEATHER RD EAST YORK,BESSBOROUGH DR,,0,10,,15,Acer platanoides,"Maple, Norway",38,"{""type"": ""Point"", ""coordinates"": [-79.3710897094625, 43.6998719740975]}"
223007,223034,EY5913,41,PARKLEA DR,RUMSEY RD,SUTHERLAND DR,,0,30,,15,Acer platanoides,"Maple, Norway",45,"{""type"": ""Point"", ""coordinates"": [-79.3690454254562, 43.7113800190451]}"
223012,223039,EY11649,52,FERRIS RD,NOTLEY PL,SPRUCEDALE PL,,0,10,,19,Picea pungens,"Spruce, Colorado blue",36,"{""type"": ""Point"", ""coordinates"": [-79.3095373959421, 43.7011755220848]}"
223056,223083,EY25606,196,WICKSTEED AVE,COPELAND ST,LESLIE ST,,0,10,,15,Tilia americana,"Basswood, American",40,"{""type"": ""Point"", ""coordinates"": [-79.3519303745142, 43.7128027971374]}"
223600,223627,EY13644,30,DONORA DR,MEIGHEN AVE,VICTORIA PARK AVE,,0,10,,19,Malus,Apple,29,"{""type"": ""Point"", ""coordinates"": [-79.2941785339618, 43.7012891024806]}"
223616,223643,EY23129,73,DONCASTER AVE,MAIN ST,LN E MAIN ST S DONCASTER,,0,10,,19,Syringa reticulata,"Lilac, Japanese",15,"{""type"": ""Point"", ""coordinates"": [-79.3031129648172, 43.6915736315053]}"
223696,223723,EY5875,114,PARKLEA DR,SUTHERLAND DR,LAIRD DR,,0,30,,15,Acer platanoides,"Maple, Norway",30,"{""type"": ""Point"", ""coordinates"": [-79.3647824871904, 43.7128527929455]}"
224054,224081,EY24881,198,MCRAE DR,AIRDRIE RD,LN W SUTHERLAND S MCRAE,,0,10,,15,Acer platanoides,"Maple, Norway",62,"{""type"": ""Point"", ""coordinates"": [-79.3663099949775, 43.7081487643168]}"
224105,224132,EY25413,76,VANDERHOOF AVE,SUTHERLAND DR,LAIRD DR,,0,10,,15,Acer platanoides,"Maple, Norway",62,"{""type"": ""Point"", ""coordinates"": [-79.3649055872921, 43.7117043054235]}"
224196,224223,EY6596,47,CAMERON CRES,SHARRON DR,PARKHURST BLVD,,0,99998,,15,Acer platanoides,"Maple, Norway",55,"{""type"": ""Point"", ""coordinates"": [-79.3718205827788, 43.7081040033914]}"
224209,224236,EY9295,30,BARKER AVE ETOBICOKE,GIBSON AVE ETOBICOKE,RIVERDALE DR,,0,10,,01,Picea pungens,"Spruce, Colorado blue",0,"{""type"": ""Point"", ""coordinates"": [-79.5593126927149, 43.7329532388249]}"
224239,224266,EY24880,198,MCRAE DR,AIRDRIE RD,LN W SUTHERLAND S MCRAE,,0,30,,15,Acer platanoides,"Maple, Norway",14,"{""type"": ""Point"", ""coordinates"": [-79.3665050633327, 43.7082907262769]}"
224560,224587,EY11661,24,FERRIS RD,NOTLEY PL,SPRUCEDALE PL,,0,10,,19,Acer platanoides,"Maple, Norway",77,"{""type"": ""Point"", ""coordinates"": [-79.3073741472634, 43.7010476434575]}"
224618,224645,EY9349,240,WOODMOUNT AVE,BARKER AVE EAST YORK,HOLBORNE AVE,,0,10,,19,Ulmus pumila,"Elm, Siberian",8,"{""type"": ""Point"", ""coordinates"": [-79.3192037004025, 43.6937375709512]}"
224620,224647,EY21634,13,TRIMONTIUM CRES,TAYLOR DR,,,0,10,,19,Malus,Apple,30,"{""type"": ""Point"", ""coordinates"": [-79.3230291579077, 43.6998479325845]}"
224647,224674,EY11080,8,SQUIRES AVE,FERRIS RD,GLENCREST BLVD,,0,10,,19,Acer saccharinum,"Maple, silver",120,"{""type"": ""Point"", ""coordinates"": [-79.2992094930514, 43.7052906561457]}"
224660,224687,EY22013,42,COLERIDGE AVE,STRATHMORE BLVD,MILVERTON BLVD,,0,10,,19,Acer platanoides,"Maple, Norway",45,"{""type"": ""Point"", ""coordinates"": [-79.3126545089606, 43.688136455459]}"
224714,224741,EY8805,35,DALECREST DR,WESTVIEW BLVD,SELWYN AVE,,0,20,,19,Magnolia x soulngeana (M. denudata x liliiflora),"Magnolia, saucer",16,"{""type"": ""Point"", ""coordinates"": [-79.3069703737863, 43.7088820930636]}"
224741,224768,EY18298,56,HILLSIDE DR EAST YORK,BROADVIEW AVE,,,0,150,,14,Pinus nigra,"Pine, Austrian",18,"{""type"": ""Point"", ""coordinates"": [-79.3564301456012, 43.6882477330411]}"
225202,225229,EY1466,4,ROXVILLE AVE,ANNESLEY AVE,GLENVALE BLVD,,0,10,,15,Acer platanoides,"Maple, Norway",62,"{""type"": ""Point"", ""coordinates"": [-79.3752065909499, 43.7157801117559]}"
225386,225413,EY15818,5,CRESTLAND AVE,MORTIMER AVE,BARKER AVE EAST YORK,,0,10,,19,Gleditsia triacanthos 'Sunburst',Honey locust Sunburst,55,"{""type"": ""Point"", ""coordinates"": [-79.3245241241679, 43.6913418690223]}"
225452,225479,EY19463,122,SPRINGDALE BLVD,MONARCH PARK AVE,COXWELL AVE,,0,10,,14,Quercus rubra,"Oak, red",51,"{""type"": ""Point"", ""coordinates"": [-79.3274472049185, 43.6869341166152]}"
225528,225555,EY2218,221,DONLEA DR,DON AVON DR,BRENTCLIFFE RD,,0,10,,15,Acer platanoides 'Crimson King',"Maple, Norway Crimson King",42,"{""type"": ""Point"", ""coordinates"": [-79.3624819342031, 43.7149294383422]}"
225655,225682,EY17271,8,CHILTON RD,WOODVILLE AVE,O'CONNOR DR,,0,10,,14,Acer platanoides,"Maple, Norway",35,"{""type"": ""Point"", ""coordinates"": [-79.3470616421622, 43.6931972858387]}"
225766,225793,EY23946,321,CHISHOLM AVE,CAMBRAI AVE,HAMSTEAD AVE,,0,30,,19,Picea pungens,"Spruce, Colorado blue",30,"{""type"": ""Point"", ""coordinates"": [-79.3065994524774, 43.6968567245883]}"
225794,225821,EY18490,38,WESTWOOD AVE,BURLEY AVE,LOGAN AVE,,0,20,,14,Ulmus pumila,"Elm, Siberian",40,"{""type"": ""Point"", ""coordinates"": [-79.3543969320055, 43.6854960645574]}"
225810,225837,EY5036,19,DOUGLAS CRES,GOVERNORS BDGE,GOVERNOR'S RD,,0,10,,11,Malus,Apple,0,"{""type"": ""Point"", ""coordinates"": [-79.3666058790545, 43.6902724720145]}"
226178,226205,EY20124,42,BONNIE BRAE BLVD,SAMMON AVE,MORTIMER AVE,,0,10,,14,Picea pungens,"Spruce, Colorado blue",40,"{""type"": ""Point"", ""coordinates"": [-79.3316313391646, 43.6890388381914]}"
226334,226361,EY10176,26,ASHALL BLVD,DENVALE RD,GLENSHAW CRES,,0,10,,19,Betula papyrifera,"Birch, white",26,"{""type"": ""Point"", ""coordinates"": [-79.3199346346297, 43.7077318259471]}"
226359,226386,EY12367,1154,GREENWOOD AVE,PLAINS RD,O'CONNOR DR,,0,10,,14,Acer platanoides,"Maple, Norway",92,"{""type"": ""Point"", ""coordinates"": [-79.338876937066, 43.6945338683716]}"
